Query, response, time
259, 0, 6.494e-05
260, 0, 0.00040594
261, 1, 0.00728094
262, 0, 4.094e-05
263, 0, 0.00021394
264, 0, 4.294e-05
265, 0, 6.194e-05
266, 1, 0.00304694
267, 0, 7.194e-05
268, 0, 0.00019794
269, 0, 0.00063594
270, 1, 0.00636294
271, 1, 0.00616194
272, 0, 0.00024894
273, 0, 3.794e-05
274, 0, 0.00013094
275, 1, 0.00444194
276, 1, 0.0163519
277, 0, 9.494e-05
278, 0, 7.294e-05
279, 0, 0.00034894
280, 0, 0.00013494
281, 0, 0.00026994
282, 0, 7.494e-05
283, 0, 0.0678019
284, 0, 8.394e-05
285, 0, 0.00421294
286, 1, 0.00700794
287, 0, 4.594e-05
288, 0, 5.894e-05
289, 1, 0.00994394
290, 0, 0.00110994
291, 0, 0.00032294
292, 0, 7.594e-05
293, 0, 7.094e-05
294, 0, 0.00026694
295, 0, 0.00634994
296, 0, 0.00188994
297, 0, 0.00024394
298, 1, 0.0195029
299, 0, 4.794e-05
300, 0, 0.00045994
301, 1, 0.0111819
302, 0, 0.00011894
303, 0, 0.0708519
304, 0, 0.00017894
305, 0, 0.00014294
306, 1, 0.0143579
307, 0, 0.00010694
308, 0, 0.00030994
309, 0, 4.194e-05
310, 0, 0.00081194
311, 0, 0.00714194
312, 0, 0.00041994
313, 1, 0.00835294
314, 1, 0.00520394
315, 0, 8.794e-05
316, 0, 7.794e-05
317, 0, 6.694e-05
318, 0, 0.00010294
319, 0, 9.694e-05
320, 0, 6.994e-05
321, 0, 7.994e-05
322, 0, 7.794e-05
323, 0, 4.094e-05
324, 0, 0.00012894
325, 0, 0.00022994
326, 1, 0.0226139
327, 1, 0.00459694
328, 1, 0.00099794
329, 0, 5.894e-05
330, 0, 8.594e-05
331, 0, 7.494e-05
332, 1, 0.0175669
333, 1, 0.00235494
334, 0, 0.00037494
335, 0, 0.00108294
336, 0, 0.00024594
337, 0, 0.00010294
338, 0, 0.00023294
339, 0, 0.00026594
340, 0, 6.294e-05
341, 0, 0.00020994
342, 0, 0.0391589
343, 0, 0.00013894
344, 1, 0.00440394
345, 0, 6.394e-05
346, 0, 3.794e-05
347, 0, 3.694e-05
348, 1, 0.00363894
349, 0, 0.00023894
350, 0, 0.00021594
351, 0, 6.394e-05
352, 0, 7.094e-05
353, 0, 9.994e-05
354, 0, 9.694e-05
355, 0, 9.094e-05
356, 0, 5.894e-05
357, 1, 0.00729494
358, 0, 4.194e-05
359, 0, 0.00053994
360, 0, 9.794e-05
361, 1, 0.00129794
362, 0, 0.00015794
363, 0, 0.00010994
364, 0, 9.694e-05
365, 1, 0.00210494
366, 1, 0.0309939
367, 0, 0.00302994
