Query, response, time
256, 0, 0.0003919
257, 0, 3.89e-05
258, 0, 0.0046629
259, 1, 0.0022409
260, 0, 4.39e-05
261, 0, 4.39e-05
262, 0, 4.09e-05
263, 0, 3.79e-05
264, 0, 0.0002239
265, 0, 8.89e-05
266, 0, 0.0003269
267, 1, 0.0030809
268, 1, 0.0032999
269, 0, 0.0002629
270, 1, 0.0040809
271, 0, 7.69e-05
272, 0, 3.69e-05
273, 1, 0.0032119
274, 1, 0.0033099
275, 0, 0.0009819
276, 1, 0.0028069
277, 0, 9.79e-05
278, 0, 4.79e-05
279, 0, 3.99e-05
280, 1, 0.0032039
281, 1, 0.0057289
282, 1, 0.0038119
283, 0, 0.0002369
284, 0, 4.89e-05
285, 0, 0.0001029
286, 1, 0.0020179
287, 0, 5.59e-05
288, 0, 0.0003739
289, 1, 0.0021319
290, 1, 0.0010209
291, 0, 4.09e-05
292, 1, 0.0030799
293, 0, 0.0007629
294, 1, 0.0025949
295, 0, 5.69e-05
296, 0, 7.09e-05
297, 0, 4.29e-05
298, 0, 0.0002859
299, 0, 7.29e-05
300, 1, 0.0034919
301, 0, 0.0051539
302, 0, 5.79e-05
303, 1, 0.0037289
304, 1, 0.0027089
305, 1, 0.0020249
306, 0, 9.69e-05
307, 0, 5.79e-05
308, 0, 3.89e-05
309, 0, 7.49e-05
310, 1, 0.0031209
311, 0, 5.39e-05
312, 0, 4.19e-05
313, 0, 7.49e-05
314, 0, 3.69e-05
315, 1, 0.0033889
316, 0, 3.89e-05
317, 1, 0.0017869
318, 0, 9.09e-05
319, 0, 7.19e-05
320, 0, 8.79e-05
321, 0, 0.0003219
322, 1, 0.0066899
323, 0, 8.29e-05
324, 0, 7.29e-05
325, 1, 0.0029489
326, 0, 7.79e-05
327, 0, 0.0001489
328, 0, 6.49e-05
329, 0, 3.69e-05
330, 0, 3.69e-05
331, 0, 4.39e-05
332, 0, 0.0002079
333, 0, 4.19e-05
334, 0, 7.59e-05
335, 0, 0.0004149
336, 0, 0.0001069
337, 0, 3.99e-05
338, 1, 0.0019469
339, 1, 0.0044459
340, 1, 0.0015549
341, 1, 0.0031889
342, 0, 4.09e-05
343, 0, 0.0004339
344, 0, 0.0002279
345, 0, 0.0121679
346, 0, 0.0001189
