Query, response, time
1, 0, 2.292e-05
2, 1, 0.00217492
3, 0, 0.00015392
4, 0, 0.00010892
5, 0, 6.892e-05
6, 0, 4.892e-05
7, 0, 8.92e-06
8, 0, 0.00114192
9, 0, 8.92e-06
10, 1, 0.00077792
11, 1, 0.00089392
12, 0, 8.92e-06
13, 1, 0.00089392
14, 0, 8.92e-06
15, 0, 8.92e-06
16, 0, 7.92e-06
17, 1, 0.0139159
18, 0, 1.092e-05
19, 0, 0.0106949
20, 0, 9.92e-06
21, 0, 5.692e-05
22, 1, 0.00065092
23, 0, 9.92e-06
24, 0, 4.992e-05
25, 0, 0.00725792
26, 1, 0.00042792
27, 0, 4.292e-05
28, 0, 0.00180692
29, 0, 7.792e-05
30, 0, 7.092e-05
31, 0, 6.192e-05
32, 0, 8.92e-06
33, 0, 1.792e-05
34, 0, 4.692e-05
35, 0, 8.92e-06
36, 0, 5.092e-05
37, 0, 7.92e-06
38, 0, 1.192e-05
39, 1, 0.00115592
40, 0, 8.92e-06
41, 0, 8.92e-06
42, 1, 0.00063192
43, 0, 6.092e-05
44, 0, 8.92e-06
45, 0, 7.892e-05
46, 0, 8.92e-06
47, 0, 7.92e-06
48, 1, 0.00126592
49, 0, 2.492e-05
50, 1, 0.00221692
51, 0, 8.92e-06
52, 1, 0.00094992
53, 0, 8.92e-06
54, 1, 0.00024892
55, 1, 0.00042792
56, 0, 6.992e-05
57, 0, 8.92e-06
58, 0, 8.92e-06
59, 0, 0.00663792
60, 0, 1.092e-05
61, 0, 3.492e-05
62, 1, 0.00787292
63, 1, 0.00192292
64, 1, 0.00209692
65, 0, 9.92e-06
66, 0, 2.092e-05
67, 0, 1.392e-05
68, 1, 0.00046992
69, 0, 3.592e-05
70, 0, 8.92e-06
71, 0, 2.392e-05
72, 0, 4.892e-05
73, 0, 8.92e-06
74, 0, 8.92e-06
75, 0, 7.92e-06
76, 1, 0.00068892
77, 1, 0.00179992
78, 1, 0.00318192
79, 1, 0.00280392
80, 1, 0.00096292
81, 0, 3.792e-05
82, 1, 0.00174792
83, 0, 5.892e-05
84, 1, 0.00253592
85, 1, 0.00761392
86, 0, 0.00283392
87, 1, 0.00042992
88, 0, 8.92e-06
89, 1, 0.00152092
90, 1, 0.00219992
91, 0, 9.92e-06
92, 0, 8.92e-06
93, 1, 0.00328792
94, 0, 9.92e-06
95, 0, 1.692e-05
96, 0, 3.192e-05
97, 0, 4.192e-05
98, 0, 7.92e-06
99, 0, 7.092e-05
100, 0, 8.92e-06
101, 1, 0.00137692
102, 0, 9.92e-06
103, 1, 0.00714392
104, 0, 8.92e-06
105, 1, 0.00303892
106, 1, 0.00147692
107, 1, 0.00141392
108, 0, 8.92e-06
109, 0, 8.92e-06
110, 1, 0.00399692
111, 1, 0.00293092
112, 0, 2.992e-05
113, 0, 8.92e-06
114, 0, 7.92e-06
115, 1, 0.00288592
116, 1, 0.00223192
117, 0, 0.00010592
118, 0, 8.92e-06
119, 0, 2.192e-05
120, 0, 1.792e-05
121, 1, 0.00627792
122, 0, 8.92e-06
123, 0, 8.92e-06
124, 0, 7.92e-06
125, 1, 0.00059092
126, 0, 8.92e-06
127, 0, 8.92e-06
128, 0, 3.692e-05
129, 0, 7.92e-06
130, 0, 3.992e-05
131, 0, 4.692e-05
132, 1, 0.00327892
133, 0, 3.192e-05
134, 1, 0.00118692
135, 0, 7.92e-06
136, 1, 0.00121992
137, 0, 0.00843692
138, 1, 0.00057392
139, 0, 0.00085992
140, 0, 7.592e-05
141, 0, 8.492e-05
142, 1, 0.00130292
143, 0, 0.00011992
144, 1, 0.00064692
145, 0, 7.092e-05
146, 0, 5.592e-05
147, 0, 7.892e-05
148, 0, 8.92e-06
149, 0, 0.00010092
150, 1, 0.00369092
151, 1, 0.00243992
152, 0, 2.692e-05
153, 0, 1.592e-05
154, 0, 8.92e-06
155, 0, 3.992e-05
156, 1, 0.00180392
157, 0, 8.92e-06
158, 0, 2.592e-05
159, 0, 8.92e-06
160, 0, 8.92e-06
161, 1, 0.00050292
162, 1, 0.00162692
163, 0, 3.892e-05
164, 0, 8.92e-06
165, 0, 1.592e-05
166, 1, 0.00406292
167, 0, 9.92e-06
168, 0, 2.292e-05
169, 1, 0.00226292
170, 0, 9.92e-06
171, 0, 8.92e-06
172, 1, 0.00091092
173, 1, 0.00470392
174, 0, 0.00650492
175, 0, 9.92e-06
176, 1, 0.00196592
177, 0, 9.192e-05
178, 0, 6.992e-05
179, 0, 9.92e-06
180, 0, 1.992e-05
181, 0, 0.00014292
182, 0, 8.92e-06
183, 1, 0.00079892
184, 0, 5.392e-05
185, 1, 0.00844492
186, 0, 8.92e-06
187, 1, 0.00048692
188, 1, 0.00280192
189, 0, 3.792e-05
190, 0, 8.92e-06
191, 1, 0.00263992
192, 0, 8.92e-06
193, 1, 0.00151192
194, 1, 0.00396792
195, 0, 8.92e-06
196, 1, 0.00132692
197, 0, 8.92e-06
198, 0, 8.92e-06
199, 1, 0.00492292
200, 1, 0.00082392
201, 1, 0.00162792
202, 0, 6.992e-05
203, 1, 0.00081192
204, 0, 8.92e-06
205, 1, 0.00098592
206, 0, 8.92e-06
207, 0, 0.00774692
208, 0, 4.192e-05
209, 1, 0.00159192
210, 0, 2.092e-05
211, 1, 0.00183092
212, 0, 9.92e-06
213, 0, 9.92e-06
214, 0, 4.592e-05
215, 0, 8.92e-06
216, 1, 0.00066192
217, 1, 0.00041592
218, 0, 9.92e-06
219, 1, 0.00158692
220, 0, 5.692e-05
221, 0, 3.892e-05
222, 0, 9.92e-06
223, 0, 7.92e-06
224, 1, 0.00122692
225, 0, 9.92e-06
226, 0, 8.92e-06
227, 0, 3.492e-05
228, 0, 8.92e-06
229, 0, 0.00015392
230, 1, 0.00307192
231, 0, 9.492e-05
232, 0, 5.492e-05
233, 1, 0.00058592
234, 0, 0.00273392
235, 1, 0.00182592
236, 1, 0.00268892
237, 0, 8.92e-06
238, 0, 0.00018892
239, 1, 0.00128092
240, 0, 7.992e-05
241, 0, 8.92e-06
242, 1, 0.00084892
243, 0, 0.00067692
244, 1, 0.00066992
245, 0, 8.92e-06
246, 1, 0.00213992
247, 0, 3.692e-05
248, 1, 0.00346692
249, 0, 8.92e-06
250, 0, 7.92e-06
251, 1, 0.00230992
252, 1, 0.00022192
253, 0, 5.792e-05
254, 0, 0.00110292
255, 1, 0.00178792
256, 0, 8.92e-06
257, 1, 0.00226692
258, 0, 1.092e-05
259, 1, 0.00636292
260, 0, 1.192e-05
261, 0, 2.092e-05
262, 0, 3.492e-05
263, 0, 3.492e-05
264, 0, 7.92e-06
265, 0, 0.00010092
266, 0, 8.92e-06
267, 1, 0.00171292
268, 0, 4.692e-05
269, 1, 0.00124892
270, 0, 3.592e-05
271, 0, 4.892e-05
272, 0, 8.92e-06
273, 1, 0.00257392
274, 1, 0.00219792
275, 1, 0.00188892
276, 0, 0.00015292
277, 0, 9.92e-06
278, 1, 0.00146992
279, 0, 8.92e-06
280, 0, 8.92e-06
281, 0, 3.392e-05
282, 0, 8.92e-06
283, 0, 8.92e-06
284, 0, 8.92e-06
285, 0, 0.00025192
286, 1, 0.00200192
287, 0, 0.00052792
288, 0, 0.00018292
289, 0, 8.92e-06
290, 0, 7.92e-06
291, 0, 8.92e-06
292, 0, 8.92e-06
293, 0, 4.092e-05
294, 0, 0.00012092
295, 0, 5.492e-05
296, 0, 2.192e-05
297, 1, 0.00082892
298, 0, 9.92e-06
299, 0, 7.192e-05
300, 0, 9.92e-06
301, 0, 3.092e-05
302, 1, 0.00245292
303, 0, 9.92e-06
304, 0, 2.892e-05
305, 1, 0.00130092
306, 1, 0.00058392
307, 0, 9.92e-06
308, 0, 8.92e-06
309, 0, 0.00125792
310, 0, 5.392e-05
311, 1, 0.00165792
312, 1, 0.00225592
313, 0, 3.892e-05
314, 0, 8.92e-06
315, 0, 8.92e-06
316, 1, 0.00199392
317, 0, 9.92e-06
318, 1, 0.00170692
319, 0, 9.92e-06
320, 0, 4.992e-05
321, 1, 0.00019692
322, 0, 9.92e-06
323, 0, 2.592e-05
324, 1, 0.00353292
325, 0, 4.892e-05
326, 0, 8.92e-06
327, 0, 0.00036492
328, 0, 6.992e-05
329, 0, 9.92e-06
330, 0, 8.92e-06
331, 1, 0.00015992
332, 0, 8.92e-06
333, 0, 2.092e-05
334, 0, 8.92e-06
335, 0, 0.00205192
336, 1, 0.00137292
337, 1, 0.00785292
338, 0, 8.992e-05
339, 0, 0.00203692
340, 1, 0.00141392
341, 1, 0.00522392
342, 1, 0.00242692
343, 0, 8.92e-06
344, 1, 0.00071792
345, 0, 9.92e-06
346, 0, 3.792e-05
347, 0, 7.92e-06
348, 0, 8.92e-06
349, 0, 1.492e-05
350, 0, 0.00727592
351, 0, 4.092e-05
352, 1, 0.00656692
353, 0, 9.92e-06
354, 0, 2.492e-05
355, 0, 7.92e-06
356, 0, 0.00757192
357, 0, 1.092e-05
358, 1, 0.00079792
359, 1, 0.00392192
360, 0, 8.92e-06
361, 0, 8.92e-06
362, 0, 4.892e-05
363, 1, 0.00099392
364, 0, 1.992e-05
365, 0, 1.792e-05
366, 0, 7.92e-06
367, 1, 0.00088992
368, 0, 3.692e-05
369, 1, 0.00295992
370, 1, 0.00800092
371, 0, 8.92e-06
372, 0, 8.92e-06
373, 1, 0.00041792
374, 0, 5.192e-05
375, 0, 6.392e-05
376, 0, 0.00012392
377, 0, 0.00125592
378, 0, 8.92e-06
379, 0, 5.392e-05
380, 0, 0.00016192
381, 0, 3.092e-05
382, 0, 7.92e-06
383, 0, 7.92e-06
384, 0, 4.892e-05
385, 1, 0.00484892
386, 0, 9.92e-06
387, 0, 0.00699092
388, 0, 0.00176792
389, 0, 0.00806792
390, 0, 4.792e-05
391, 0, 5.792e-05
392, 0, 8.92e-06
393, 1, 0.00181192
394, 1, 0.00342592
395, 0, 9.92e-06
396, 0, 8.92e-06
397, 0, 8.92e-06
398, 1, 0.00064292
399, 0, 0.00697092
400, 1, 0.00063292
401, 0, 9.92e-06
402, 1, 0.00785792
403, 1, 0.00342692
404, 0, 9.92e-06
405, 0, 8.92e-06
406, 1, 0.00035692
407, 0, 8.92e-06
408, 0, 0.00016192
409, 0, 1.492e-05
410, 1, 0.00277092
411, 1, 0.00067192
412, 0, 8.92e-06
413, 0, 8.92e-06
414, 0, 8.92e-06
415, 1, 0.0118539
416, 1, 0.00044392
417, 1, 0.00162992
418, 0, 8.92e-06
419, 1, 0.00171492
420, 0, 5.792e-05
421, 0, 6.592e-05
422, 1, 0.00358492
423, 0, 8.92e-06
424, 0, 4.992e-05
425, 1, 0.00274792
426, 0, 0.0100019
427, 1, 0.00117092
428, 0, 6.892e-05
429, 0, 7.992e-05
430, 0, 9.292e-05
431, 0, 8.92e-06
432, 0, 8.92e-06
433, 1, 0.00410792
434, 1, 0.00399592
435, 1, 0.00527192
436, 0, 0.00035392
437, 0, 9.92e-06
438, 0, 8.92e-06
439, 1, 0.00162092
440, 0, 0.00011492
441, 0, 8.92e-06
442, 0, 8.92e-06
443, 0, 7.92e-06
444, 0, 1.892e-05
445, 0, 8.92e-06
446, 1, 0.00181592
447, 1, 0.00078192
448, 0, 8.92e-06
449, 1, 0.00312992
450, 0, 2.092e-05
451, 0, 9.092e-05
452, 0, 0.00807892
453, 0, 0.00037992
454, 1, 0.00035392
455, 1, 0.00033292
456, 0, 2.792e-05
457, 0, 8.92e-06
458, 1, 0.00015892
459, 1, 0.00120192
460, 0, 9.92e-06
461, 1, 0.00205792
462, 1, 0.00046992
463, 0, 5.092e-05
464, 1, 0.00084792
465, 0, 9.92e-06
466, 0, 8.92e-06
467, 0, 4.392e-05
468, 1, 0.00098592
469, 0, 9.92e-06
470, 0, 8.92e-06
471, 1, 0.00134492
472, 1, 0.00145592
473, 0, 8.92e-06
474, 1, 0.00088592
475, 0, 8.92e-06
476, 1, 0.00202292
477, 0, 1.792e-05
478, 1, 0.00288492
479, 1, 0.00088392
480, 0, 9.92e-06
481, 1, 0.00261692
482, 0, 8.92e-06
483, 0, 5.392e-05
484, 1, 0.00372892
485, 1, 0.00152392
486, 1, 0.00648592
487, 0, 9.92e-06
488, 0, 8.92e-06
489, 0, 0.00203692
490, 0, 0.00027692
491, 1, 0.00608592
492, 0, 0.00190992
493, 1, 0.00141192
494, 0, 8.92e-06
495, 0, 0.00016492
496, 1, 0.00196992
497, 0, 3.692e-05
498, 1, 0.00039592
499, 1, 0.00046592
500, 0, 8.92e-06
501, 0, 8.92e-06
502, 0, 3.092e-05
503, 0, 8.92e-06
504, 0, 0.00862592
505, 0, 4.292e-05
506, 0, 9.292e-05
507, 0, 8.92e-06
508, 1, 0.00068892
509, 0, 8.92e-06
510, 0, 8.92e-06
511, 0, 3.992e-05
512, 0, 0.00015192
513, 0, 8.92e-06
514, 1, 0.00107492
515, 1, 0.00734992
516, 1, 0.00038992
517, 0, 6.992e-05
518, 1, 0.00121192
519, 0, 0.00036892
520, 0, 9.92e-06
521, 1, 0.00159392
522, 0, 8.92e-06
523, 0, 1.592e-05
524, 0, 8.92e-06
525, 1, 0.00135792
