Query, response, time
738, 1, 0.00139692
740, 0, 1.092e-05
749, 0, 8.92e-06
752, 1, 0.00372492
763, 0, 0.00028992
765, 0, 0.00915992
772, 0, 1.192e-05
775, 1, 0.00366892
776, 0, 1.092e-05
777, 0, 8.92e-06
781, 0, 8.92e-06
787, 0, 8.92e-06
790, 0, 0.0101519
791, 0, 1.092e-05
793, 0, 9.92e-06
799, 1, 0.00803292
804, 1, 0.00281192
813, 1, 0.00532692
819, 0, 1.192e-05
822, 0, 6.492e-05
826, 1, 0.00358892
828, 1, 0.0140249
836, 0, 1.192e-05
838, 0, 8.92e-06
840, 0, 9.292e-05
842, 0, 7.192e-05
843, 1, 0.00208792
847, 1, 0.0105139
848, 1, 0.00355892
851, 0, 9.92e-06
855, 1, 0.00065392
859, 0, 9.92e-06
860, 0, 8.92e-06
865, 0, 0.00115292
869, 0, 1.292e-05
874, 0, 9.92e-06
878, 0, 8.92e-06
881, 0, 8.92e-06
882, 1, 0.00114392
883, 0, 9.92e-06
884, 1, 0.00143492
888, 0, 8.592e-05
889, 1, 0.00110592
895, 0, 0.00010792
897, 1, 0.00809392
902, 1, 0.00020892
904, 1, 0.00365592
905, 0, 1.192e-05
908, 0, 9.92e-06
910, 1, 0.00123992
911, 0, 8.892e-05
912, 1, 0.00015792
917, 0, 0.0114409
918, 0, 1.192e-05
920, 0, 8.92e-06
926, 0, 8.92e-06
928, 0, 8.192e-05
930, 1, 0.00039892
931, 1, 0.00103292
932, 1, 0.00122592
933, 0, 0.00024592
935, 0, 8.92e-06
936, 0, 8.92e-06
938, 0, 8.92e-06
941, 0, 0.00010792
942, 1, 0.00093992
943, 1, 0.00060392
944, 0, 9.92e-06
945, 1, 0.00052992
948, 0, 9.92e-06
955, 0, 0.00011592
957, 1, 0.00040992
960, 0, 0.00020592
961, 0, 0.00011792
964, 0, 3.792e-05
977, 0, 9.92e-06
978, 0, 7.692e-05
982, 0, 0.00912692
983, 0, 1.092e-05
984, 0, 9.92e-06
986, 0, 0.00031192
987, 0, 9.92e-06
988, 1, 0.00095692
1013, 1, 0.00344192
1017, 0, 0.00013292
1018, 1, 0.00124092
1019, 0, 9.592e-05
1021, 0, 0.00028492
1023, 0, 9.92e-06
1024, 0, 0.00819892
1025, 0, 0.00971992
1026, 1, 0.00232392
1027, 0, 9.92e-06
1029, 0, 0.00033192
1033, 1, 0.00095592
1035, 0, 9.92e-06
1036, 0, 7.392e-05
1039, 1, 0.00423592
1040, 1, 0.00204092
1041, 0, 9.92e-06
1044, 1, 0.00997392
1045, 0, 9.92e-06
1046, 1, 0.00109192
1048, 0, 9.92e-06
1049, 0, 6.992e-05
1053, 0, 8.92e-06
1055, 1, 0.00072792
1065, 0, 0.00011492
1072, 0, 0.00020492
1075, 0, 8.92e-06
1080, 0, 8.92e-06
1081, 0, 8.92e-06
1096, 1, 0.00063292
1099, 0, 9.392e-05
1102, 0, 9.92e-06
1105, 0, 7.92e-06
1106, 0, 6.092e-05
1110, 0, 0.00011892
1116, 0, 9.92e-06
1121, 1, 0.00257192
1122, 0, 0.00011492
1126, 0, 8.92e-06
1130, 1, 0.00273692
1139, 1, 0.00806392
1140, 1, 0.00260792
1143, 0, 9.192e-05
1144, 0, 8.92e-06
1145, 1, 0.00437592
1147, 1, 0.00102292
1148, 0, 1.092e-05
1152, 0, 9.92e-06
1157, 0, 7.692e-05
1158, 1, 0.00297992
1159, 0, 0.0110149
1160, 0, 0.00113092
1170, 0, 9.92e-06
1172, 0, 8.92e-06
1173, 0, 8.92e-06
1184, 1, 0.00137692
1190, 1, 0.00121992
1194, 0, 0.00015192
1195, 0, 8.92e-06
1197, 0, 7.92e-06
1198, 0, 0.00010492
1199, 1, 0.00359492
1200, 0, 9.92e-06
1202, 1, 0.00259792
1203, 0, 3.592e-05
1207, 0, 0.00012692
1209, 1, 0.00527792
1210, 0, 3.992e-05
1211, 0, 8.92e-06
1216, 0, 9.92e-06
1219, 1, 0.00295492
1226, 0, 0.0102949
1234, 1, 0.00159092
1235, 0, 9.92e-06
1237, 1, 0.00160292
1238, 0, 9.92e-06
1239, 0, 9.592e-05
1240, 1, 0.00120592
1244, 0, 9.92e-06
1245, 0, 2.892e-05
1249, 0, 8.92e-06
1251, 0, 0.00011292
1254, 0, 8.292e-05
1256, 0, 0.00974792
1263, 1, 0.00315192
1271, 1, 0.00040492
1285, 0, 0.00961892
1288, 0, 1.092e-05
1295, 0, 8.92e-06
1296, 0, 8.92e-06
1300, 0, 8.92e-06
1302, 1, 0.00315792
1305, 1, 0.00118892
1308, 1, 0.00066992
1311, 1, 0.00652392
1313, 0, 1.092e-05
1314, 1, 0.00059992
1315, 0, 8.92e-06
1319, 0, 8.92e-06
1324, 0, 2.592e-05
1325, 0, 5.192e-05
1326, 0, 7.92e-06
1327, 1, 0.00039492
1330, 0, 0.0131239
1332, 0, 8.592e-05
1333, 1, 0.00132192
1335, 1, 0.00227992
1336, 0, 0.0108699
1337, 0, 0.00010092
1340, 0, 9.92e-06
1342, 0, 8.92e-06
1343, 0, 8.92e-06
1346, 0, 7.92e-06
1349, 1, 0.00027792
1351, 0, 9.92e-06
1355, 0, 1.092e-05
1357, 0, 4.992e-05
1362, 0, 9.92e-06
1365, 1, 0.00306492
1371, 1, 0.00108492
1372, 0, 9.92e-06
1373, 0, 8.92e-06
1375, 0, 8.92e-06
1378, 1, 0.00134592
1380, 0, 0.00025992
1383, 0, 0.0120089
1391, 1, 0.00375992
1395, 0, 7.592e-05
1398, 0, 9.92e-06
1399, 1, 0.00055992
1400, 0, 8.92e-06
1401, 1, 0.0126729
1405, 0, 0.00026292
1408, 0, 1.192e-05
1410, 0, 3.192e-05
1417, 1, 0.00165092
1418, 0, 0.00034592
1421, 0, 9.92e-06
1423, 0, 0.00013592
1424, 1, 0.00158792
1429, 0, 8.892e-05
1430, 0, 8.92e-06
1431, 1, 0.00634592
1432, 0, 1.192e-05
1436, 1, 0.00109492
1438, 0, 9.92e-06
1443, 0, 8.92e-06
1446, 0, 3.792e-05
1448, 0, 7.92e-06
1450, 0, 0.00022092
1451, 1, 0.00231292
1453, 0, 0.00064292
1454, 0, 0.00032392
1455, 0, 0.0105329
1461, 1, 0.00148692
1464, 1, 0.00212492
1465, 0, 8.192e-05
1470, 0, 0.0154139
1472, 0, 0.00014192
1477, 1, 0.0110259
1480, 0, 1.092e-05
1484, 1, 0.00080892
1487, 1, 0.00050892
1499, 1, 0.00186192
1500, 1, 0.0102959
1502, 0, 1.092e-05
1504, 0, 8.92e-06
1505, 1, 0.00550392
1507, 1, 0.00426292
1511, 1, 0.00093192
1514, 0, 0.00021292
1515, 1, 0.00240092
1521, 1, 0.00377192
1522, 1, 0.00621092
1534, 0, 4.492e-05
1535, 0, 0.00037192
1538, 1, 0.0106409
1541, 0, 6.592e-05
1542, 0, 9.92e-06
1547, 0, 0.00062092
1548, 1, 0.00158892
1554, 1, 0.00125792
1555, 1, 0.00162192
1557, 0, 9.92e-06
1560, 1, 0.00277092
1562, 0, 9.92e-06
1568, 0, 8.92e-06
1569, 0, 8.92e-06
1571, 0, 8.92e-06
1572, 0, 5.692e-05
1573, 0, 0.00021192
1575, 1, 0.00073992
1579, 1, 0.00121392
1584, 0, 9.92e-06
1585, 0, 2.492e-05
1586, 0, 9.92e-06
1591, 0, 0.00010292
1592, 0, 8.692e-05
1596, 0, 8.92e-06
1601, 1, 0.00413392
1602, 1, 0.00291792
1604, 0, 9.92e-06
1605, 0, 8.92e-06
1606, 1, 0.00244692
1608, 0, 0.00887192
1610, 1, 0.00131492
1624, 1, 0.00110992
1626, 0, 9.92e-06
1627, 0, 8.92e-06
1631, 0, 8.92e-06
1633, 0, 0.00027092
1634, 0, 6.592e-05
1637, 0, 8.92e-06
1639, 1, 0.00356492
1643, 0, 9.92e-06
1650, 0, 8.92e-06
1654, 0, 9.792e-05
1659, 0, 8.292e-05
1661, 1, 0.00273592
1666, 0, 9.92e-06
1670, 0, 8.92e-06
1671, 1, 0.00154792
1681, 1, 0.00038092
1684, 0, 8.092e-05
1690, 0, 0.00010492
1693, 1, 0.00077292
1696, 1, 0.00112592
1699, 1, 0.00368492
1704, 1, 0.00113592
1705, 0, 0.00029392
1706, 0, 9.92e-06
1713, 0, 0.00014692
1715, 1, 0.00080992
1719, 1, 0.00058192
1721, 0, 8.492e-05
1722, 1, 0.00520092
1731, 1, 0.00167592
1739, 0, 9.92e-06
1743, 0, 6.792e-05
1745, 0, 8.92e-06
1746, 0, 9.92e-06
1747, 1, 0.00396092
1752, 0, 0.00974792
1754, 0, 9.92e-06
1758, 0, 8.92e-06
1759, 1, 0.00515492
1762, 1, 0.00014592
1764, 0, 8.92e-06
1770, 0, 8.92e-06
1771, 1, 0.00061692
1773, 0, 8.92e-06
1774, 0, 0.00044592
1778, 0, 2.792e-05
1784, 0, 8.92e-06
1794, 1, 0.00148792
1799, 0, 0.00011092
1804, 0, 0.00013392
1808, 1, 0.00094992
1809, 0, 8.92e-06
1810, 1, 0.00942392
1813, 1, 0.00170092
1816, 1, 0.00686092
1818, 1, 0.00207592
1822, 1, 0.00186992
1823, 0, 0.00111492
1829, 0, 9.92e-06
1830, 1, 0.0123069
1832, 1, 0.00100992
1840, 1, 0.00375092
1844, 0, 1.092e-05
1845, 1, 0.00019392
1848, 0, 0.00011492
1852, 1, 0.00173192
1853, 1, 0.00245792
1856, 0, 0.00019492
1858, 0, 9.92e-06
1859, 1, 0.00332592
1861, 1, 0.00137292
1863, 0, 9.92e-06
1864, 0, 8.92e-06
1865, 1, 0.00465892
1869, 0, 0.00010392
1870, 0, 0.0119039
1873, 0, 9.92e-06
1880, 0, 7.92e-06
1889, 0, 7.392e-05
1890, 1, 0.00449592
1891, 0, 0.00019192
1892, 0, 9.92e-06
1893, 0, 2.992e-05
1897, 1, 0.00078992
1900, 1, 0.00239792
1903, 0, 0.00021992
1905, 0, 7.992e-05
1913, 0, 8.92e-06
1916, 0, 8.292e-05
1919, 0, 2.392e-05
1922, 0, 3.892e-05
1923, 1, 0.00075992
1925, 0, 0.0105749
1926, 0, 0.00023192
1927, 0, 8.992e-05
1933, 0, 0.00018592
1936, 0, 8.92e-06
1937, 0, 8.92e-06
1944, 0, 8.92e-06
1945, 1, 0.00601092
1946, 0, 0.00029692
1947, 0, 8.92e-06
1949, 0, 4.092e-05
1951, 1, 0.00090992
1953, 1, 0.00098892
1956, 1, 0.00320292
1961, 0, 1.092e-05
1963, 0, 0.00016792
1968, 0, 0.00017992
1970, 0, 0.0143319
1982, 0, 1.092e-05
1984, 0, 8.92e-06
1987, 1, 0.00148292
1988, 0, 1.092e-05
1990, 0, 0.00011592
1991, 0, 0.00033392
1992, 1, 0.00173792
1993, 1, 0.00124492
1994, 0, 4.092e-05
1995, 0, 0.00011292
2010, 1, 0.00175292
2013, 0, 0.00011192
2017, 0, 0.00027792
2020, 1, 0.00398692
2021, 0, 0.00012592
2026, 1, 0.00566692
2036, 1, 0.00079892
2040, 0, 9.92e-06
2046, 0, 9.92e-06
2047, 1, 0.00465792
2054, 0, 1.092e-05
2055, 0, 8.92e-06
2059, 0, 8.92e-06
2061, 1, 0.00151892
2062, 1, 0.00093392
2070, 0, 1.192e-05
2076, 1, 0.00447092
2085, 1, 0.00139992
2090, 1, 0.00250692
2094, 0, 9.92e-06
2097, 1, 0.00266792
2099, 0, 0.00727092
2100, 1, 0.00363492
2101, 1, 0.00054292
2102, 1, 0.00101592
2107, 1, 0.00147292
2111, 0, 8.792e-05
2113, 1, 0.00161592
2119, 0, 4.892e-05
2120, 0, 2.292e-05
2121, 1, 0.00096492
2122, 0, 9.92e-06
2123, 0, 9.92e-06
2132, 1, 0.00225892
2133, 1, 0.00070892
2134, 1, 0.00439292
2135, 0, 9.92e-06
2136, 0, 8.92e-06
2138, 1, 0.00106092
2139, 0, 9.92e-06
2140, 1, 0.00079792
2141, 0, 8.92e-06
2144, 0, 0.00810592
2145, 0, 1.192e-05
2148, 1, 0.00301892
2149, 0, 9.92e-06
2155, 1, 0.00153992
2157, 0, 2.392e-05
2163, 0, 8.92e-06
2166, 1, 0.00328992
2169, 0, 1.092e-05
2170, 0, 1.092e-05
2171, 1, 0.00837292
2172, 1, 0.00152192
2175, 0, 9.92e-06
2177, 0, 0.00074992
2179, 0, 1.492e-05
2183, 0, 1.292e-05
2191, 1, 0.00206092
2193, 1, 0.00130592
2195, 1, 0.00154292
2196, 0, 1.092e-05
2199, 0, 9.92e-06
2201, 0, 0.0157169
2209, 1, 0.00159492
2210, 0, 9.92e-06
2215, 0, 8.92e-06
2218, 1, 0.00099092
2219, 1, 0.00173292
2220, 0, 3.692e-05
2224, 0, 9.92e-06
2225, 0, 3.692e-05
2227, 0, 7.92e-06
2228, 1, 0.00093592
2235, 1, 0.00044692
2236, 1, 0.00010492
2244, 1, 0.00116692
2245, 1, 0.00179592
2246, 0, 0.00021092
2256, 0, 8.092e-05
2257, 1, 0.00169292
2262, 0, 0.00013392
2263, 0, 0.00014492
2266, 1, 0.00119992
2271, 1, 0.00156592
2273, 0, 0.0101009
2274, 0, 1.192e-05
2275, 0, 0.00014492
2276, 0, 0.00013592
2278, 0, 0.00014492
2281, 0, 8.92e-06
2285, 0, 8.92e-06
2289, 0, 8.92e-06
2295, 0, 0.00016492
2302, 0, 8.92e-06
2304, 0, 0.0111309
2308, 0, 0.0124399
2320, 1, 0.00313192
2321, 1, 0.00045892
2325, 0, 9.792e-05
2334, 0, 8.92e-06
2337, 0, 2.392e-05
2344, 1, 0.00076892
2346, 0, 2.992e-05
2350, 1, 0.00094192
2351, 1, 0.00063592
2353, 1, 0.00185492
2354, 0, 7.192e-05
2364, 0, 9.92e-06
2368, 1, 0.00134392
2372, 0, 8.92e-06
2373, 0, 8.92e-06
2375, 0, 6.692e-05
2377, 0, 0.00014892
2381, 0, 9.92e-06
2383, 1, 0.00300692
2385, 1, 0.00302592
2388, 0, 9.92e-06
2390, 1, 0.00277792
2391, 1, 0.00229492
2392, 1, 0.00333292
2394, 0, 0.00021692
2395, 0, 9.92e-06
2396, 0, 8.92e-06
2398, 0, 7.92e-06
2399, 1, 0.00254692
2401, 0, 8.92e-06
2402, 0, 0.00012792
2406, 1, 0.00016692
2407, 0, 0.0149059
2414, 1, 0.00354892
2416, 1, 0.00168292
2417, 0, 1.092e-05
2420, 0, 8.92e-06
2430, 0, 8.92e-06
2432, 0, 0.00027092
2440, 1, 0.00274992
2441, 0, 1.092e-05
2443, 0, 6.392e-05
2444, 0, 9.92e-06
2449, 0, 4.092e-05
2460, 0, 8.92e-06
2461, 0, 0.00969292
2468, 0, 1.192e-05
2479, 0, 9.92e-06
2482, 1, 0.00276292
2483, 0, 2.492e-05
2485, 0, 1.192e-05
2486, 0, 0.00011392
2490, 1, 0.00026992
2493, 0, 9.192e-05
2494, 0, 9.92e-06
2497, 0, 8.92e-06
2507, 1, 0.00981192
2511, 0, 5.092e-05
2515, 0, 1.092e-05
2516, 0, 0.00019892
2522, 0, 8.92e-06
2524, 0, 4.392e-05
2526, 0, 0.00016192
2530, 0, 9.92e-06
2533, 0, 7.92e-06
2538, 1, 0.00135592
2540, 1, 0.00451192
2547, 0, 0.00022892
2557, 1, 0.00127492
2560, 0, 4.992e-05
2562, 0, 8.92e-06
2563, 0, 8.492e-05
2566, 0, 8.92e-06
2568, 0, 0.0154249
2570, 1, 0.00227692
2572, 1, 0.00267492
2576, 0, 9.92e-06
2580, 1, 0.00055492
2592, 1, 0.00091092
2593, 1, 0.00237492
2595, 0, 2.392e-05
2600, 0, 0.00012592
2604, 0, 8.92e-06
2605, 1, 0.00118192
2608, 0, 3.292e-05
2609, 0, 8.92e-06
2611, 0, 8.92e-06
2612, 0, 8.92e-06
2613, 0, 8.92e-06
2618, 0, 0.0109259
2620, 0, 1.092e-05
